日期,AvgTN,盐度1,pH1,溶解氧,导电率,蜕壳数,死亡数,备注
9月11日,0.781690141,0.5,0.149253731,0.627523729847761,0.8960935573693857,0.316455696,0.277777778,
9月12日,0.718309859,0.2275718579994242,0.671641791,0.5,0.9,0.329113924,0.0,
9月13日,0.788732394,0.07710198587180589,0.537313433,0.486666667,0.92,0.303797468,0.361111111,补蟹两排
9月14日,0.838028169,0.02912980615650086,0.641791045,0.488333333,0.94,0.202531646,0.694444444,
9月15日,0.873239437,0.06419474139286452,0.537313433,0.455,0.95,0.278481013,0.444444444,
9月16日,0.852112676,0.16283621412025245,0.656716418,0.471666667,0.96,0.253164557,0.666666667,
9月17日,0.809859155,0.30559364687802015,0.656716418,0.471666667,0.97,0.139240506,0.555555556,
9月18日,0.774647887,0.4730064622055232,0.805970149,0.508333333,0.98,0.151898734,0.416666667,
9月19日,0.464788732,0.6456140826421173,0.701492537,0.613333333,0.99,0.164556962,0.555555556,
9月20日,0.373239437,0.8039559307271578,0.731343284,0.64,1.0,0.025316456,0.361111111,
9月21日,0.35915493,0.928571429,0.731343284,0.633333333,0.99,0.063291139,0.555555556,
9月22日,0.302816901,1.0,0.791044776,0.738333333,1.0,0.063291139,0.416666667,
9月23日,0.338028169,1.0,0.71641791,0.678333333,0.98,0.088607595,0.444444444,
9月24日,0.373239437,0.928571429,0.746268657,0.66,0.98,0.037974684,0.527777778,
9月25日,0.422535211,0.857142857,0.671641791,0.638333333,0.98,0.025316456,0.222222222,
9月26日,0.436619718,0.857142857,0.835820896,0.648333333,0.98,0.037974684,0.305555556,
9月27日,0.535211268,0.785714286,0.791044776,0.623333333,0.96,0.063291139,0.361111111,
9月28日,0.626760563,0.714285714,0.746268657,0.61,0.98,0.17721519,0.833333333,
9月29日,0.690140845,0.571428571,0.865671642,0.598333333,0.96,0.101265823,0.361111111,
9月30日,0.633802817,0.428571429,0.134328358,0.59,0.8,0.113924051,0.638888889,
10月1日,0.436619718,0.5,0.611940299,0.57,0.77,0.17721519,0.25,
10月2日,0.373239437,0.5,0.776119403,0.69,0.78,0.164556962,0.555555556,
10月3日,0.281690141,0.5,0.447761194,0.606666667,0.78,0.063291139,0.166666667,
10月4日,0.232394366,0.392857143,0.582089552,0.67,0.79,0.088607595,0.305555556,
10月5日,0.232394366,0.357142857,0.597014925,0.703333333,0.78,0.050632911,0.222222222,
10月6日,0.26056338,0.428571429,0.641791045,0.775,0.79,0.037974684,0.277777778,
10月7日,0.281690141,0.285714286,0.626865672,0.755,0.8,0.126582278,0.333333333,
10月8日,0.345070423,0.285714286,0.626865672,0.721666667,0.8,0.088607595,0.194444444,
10月9日,0.38028169,0.285714286,0.686567164,0.715,0.8,0.075949367,0.305555556,
10月10日,0.478873239,0.214285714,0.71641791,0.646666667,0.81,0.189873418,0.111111111,
10月11日,0.542253521,0.285714286,0.746268657,0.635,0.84,0.202531646,0.333333333,
10月12日,0.478873239,0.428571429,0.71641791,0.691666667,0.86,0.17721519,0.361111111,
10月13日,0.485915493,0.428571429,0.641791045,0.613333333,0.89,0.189873418,1.0,
10月14日,0.492957746,0.428571429,0.582089552,0.638333333,0.88,0.215189873,0.75,
10月15日,0.373239437,0.5,0.71641791,0.746666667,0.88,0.240506329,0.666666667,
10月16日,0.295774648,0.357142857,0.805970149,0.826666667,0.89,0.202531646,0.75,
10月17日,0.295774648,0.535714286,0.731343284,0.783333333,0.89,0.088607595,0.805555556,
10月18日,0.288732394,0.571428571,0.76119403,0.756666667,0.9,0.202531646,0.611111111,
10月19日,0.197183099,0.642857143,0.850746269,0.808333333,0.91,0.189873418,0.75,
10月20日,0.246478873,0.5,0.910447761,0.855,0.91,0.139240506,0.5,
10月21日,0.309859155,0.5,0.850746269,0.761666667,0.91,0.050632911,0.305555556,
10月22日,0.288732394,0.5,0.835820896,0.81,0.91,0.063291139,0.555555556,
10月23日,0.288732394,0.5,0.791044776,0.79,0.9,0.025316456,0.611111111,
10月24日,0.330985915,0.5,0.820895522,0.763333333,0.92,0.126582278,0.416666667,
10月25日,0.26056338,0.642857143,0.791044776,0.808333333,0.93,0.050632911,0.694444444,
10月26日,0.126760563,0.714285714,0.850746269,0.896666667,0.93,0.075949367,0.25,
10月27日,0.11971831,0.785714286,1.0,0.925,0.94,0.063291139,0.472222222,
10月28日,0.190140845,0.571428571,0.955223881,0.91,0.94,0.063291139,0.138888889,
10月29日,0.232394366,0.714285714,0.820895522,0.808333333,0.95,0.037974684,0.527777778,
10月30日,0.23943662,0.642857143,0.850746269,0.805,0.95,0.050632911,0.361111111,
10月31日,0.176056338,0.714285714,0.910447761,0.873333333,0.95,0.025316456,0.472222222,
11月1日,0.246478873,0.642857143,0.940298507,0.883333333,0.95,0.037974684,0.194444444,
11月2日,0.323943662,0.535714286,0.641791045,0.753333333,0.95,0.037974684,0.361111111,
11月3日,0.35915493,0.5,0.791044776,0.793333333,0.85,0.025316456,0.583333333,
11月4日,0.450704225,0.214285714,0.835820896,0.768333333,0.81,0.101265823,0.861111111,
11月5日,0.478873239,0.214285714,0.835820896,0.735,0.81,0.037974684,0.638888889,
