日期,温度1（℃）,温度2（℃）,盐度1,盐度2,pH1,pH2,溶解氧,导电率,蜕壳数,死亡数,备注
2011-08-12,28.4,28.4,30.0,28.0,7.9,8.0,4.52,1.12,,,
2011-08-13,27.3,28.0,28.0,26.0,7.9,7.8,,,45.0,,
2011-08-14,26.9,27.0,29.0,27.0,7.8,7.9,,,54.0,2.0,
2011-08-15,27.3,27.8,25.0,26.0,7.8,7.8,,,50.0,3.0,补蟹35只
2011-08-16,26.1,29.6,25.0,26.0,7.8,7.8,,,47.0,3.0,
2011-08-17,28.6,29.2,26.0,26.0,7.8,7.9,9.02,0.94,65.0,,
2011-08-18,28.0,29.7,26.0,27.0,7.8,7.8,,,79.0,3.0,
2011-08-19,27.9,28.8,28.0,28.0,7.8,7.9,,,73.0,3.0,
2011-08-20,28.0,30.0,30.0,29.0,7.7,7.7,,,61.0,,
2011-08-21,28.7,28.5,26.0,26.0,7.8,7.7,,,43.0,,
2011-08-22,27.7,28.7,30.0,28.0,7.6,7.7,8.22,0.92,,,
2011-08-23,27.2,27.0,29.0,30.0,7.7,7.8,,,40.0,4.0,
2011-08-24,26.1,25.6,30.0,15.0,7.7,7.9,,,51.0,3.0,
2011-08-25,26.7,27.0,21.0,21.0,7.6,7.7,,,36.0,2.0,
2011-08-26,25.5,26.8,22.0,21.0,7.5,7.6,,,35.0,,
2011-08-27,26.5,26.8,20.0,22.0,7.5,7.7,8.24,9.32,33.0,,
2011-08-28,27.3,,19.0,,7.6,,,,38.0,7.0,
2011-08-29,27.4,,20.0,,7.4,,,,40.0,8.0,
2011-08-30,27.6,,18.0,,7.7,,,,44.0,2.0,
2011-08-31,27.3,,19.0,,7.6,,,,28.0,5.0,
2011-09-01,27.1,,20.0,,7.7,,9.6,2.73,22.0,1.0,
2011-09-02,26.4,,21.0,,7.6,,,,25.0,,
2011-09-03,26.2,,21.0,,7.6,,,,24.0,,
2011-09-04,25.7,25.7,24.0,,7.7,,,,,,
2011-09-05,25.2,,23.0,,7.7,,,,74.0,11.0,
2011-09-06,24.4,,26.5,,7.7,,,,16.0,2.0,
2011-09-07,23.8,,27.0,,7.7,,,,20.0,2.0,
2011-09-08,24.0,,27.0,,7.7,,,,10.0,10.0,
2011-09-09,25.9,,26.0,,7.6,,,,20.0,9.0,
2011-09-10,25.6,,27.0,,7.6,,,,20.0,7.0,
2011-09-11,25.6,,25.0,,7.5,,,,25.0,11.0,
2011-09-12,24.7,,,,7.85,,7.52,40.5,26.0,1.0,
2011-09-13,25.7,,,,7.76,,7.44,41.5,24.0,14.0,补蟹两排
2011-09-14,26.4,,,,7.83,,7.45,42.2,16.0,26.0,
2011-09-15,26.9,,,,7.76,,7.25,42.6,22.0,17.0,
2011-09-16,26.6,,,,7.84,,7.35,43.1,20.0,25.0,
2011-09-17,26.0,,,,7.84,,7.35,43.6,11.0,21.0,
2011-09-18,25.5,,,,7.94,,7.57,44.1,12.0,16.0,
2011-09-19,21.1,,,,7.87,,8.2,44.2,13.0,21.0,
2011-09-20,19.8,,,,7.89,,8.36,44.8,2.0,14.0,
2011-09-21,19.6,,31.0,,7.89,,8.32,44.5,5.0,21.0,
2011-09-22,18.8,,32.0,,7.93,,8.95,44.6,5.0,16.0,
2011-09-23,19.3,,32.0,,7.88,,8.59,43.9,7.0,17.0,
2011-09-24,19.8,,31.0,,7.9,,8.48,43.9,3.0,20.0,
2011-09-25,20.5,,30.0,,7.85,,8.35,44.0,2.0,9.0,
2011-09-26,20.7,,30.0,,7.96,,8.41,44.1,3.0,12.0,
2011-09-27,22.1,,29.0,,7.93,,8.26,43.2,5.0,14.0,
2011-09-28,23.4,,28.0,,7.9,,8.18,44.0,14.0,31.0,
2011-09-29,24.3,,26.0,,7.98,,8.11,43.2,8.0,14.0,
2011-09-30,23.5,,24.0,,7.49,,8.06,36.1,9.0,24.0,
2011-10-01,20.7,,25.0,,7.81,,7.94,34.8,14.0,10.0,
2011-10-02,19.8,,25.0,,7.92,,8.66,35.0,13.0,21.0,
2011-10-03,18.5,,25.0,,7.7,,8.16,35.3,5.0,7.0,
2011-10-04,17.8,,23.5,,7.79,,8.54,35.4,7.0,12.0,
2011-10-05,17.8,,23.0,,7.8,,8.74,35.3,4.0,9.0,
2011-10-06,18.2,,24.0,,7.83,,9.17,35.8,3.0,11.0,
2011-10-07,18.5,,22.0,,7.82,,9.05,35.9,10.0,13.0,
2011-10-08,19.4,,22.0,,7.82,,8.85,35.9,7.0,8.0,
2011-10-09,19.9,,22.0,,7.86,,8.81,36.0,6.0,12.0,
2011-10-10,21.3,,21.0,,7.88,,8.4,36.6,15.0,5.0,
2011-10-11,22.2,,22.0,,7.9,,8.33,37.8,16.0,13.0,
2011-10-12,21.3,,24.0,,7.88,,8.67,38.8,14.0,14.0,
2011-10-13,21.4,,24.0,,7.83,,8.2,39.8,15.0,37.0,
2011-10-14,21.5,,24.0,,7.79,,8.35,39.6,17.0,28.0,
2011-10-15,19.8,,25.0,,7.88,,9.0,39.6,19.0,25.0,
2011-10-16,18.7,,23.0,,7.94,,9.48,40.0,16.0,28.0,
2011-10-17,18.7,,25.5,,7.89,,9.22,40.1,7.0,30.0,
2011-10-18,18.6,,26.0,,7.91,,9.06,40.5,16.0,23.0,
2011-10-19,17.3,,27.0,,7.97,,9.37,40.8,15.0,28.0,
2011-10-20,18.0,,25.0,,8.01,,9.65,40.8,11.0,19.0,
2011-10-21,18.9,,25.0,,7.97,,9.09,40.7,4.0,12.0,
2011-10-22,18.6,,25.0,,7.96,,9.38,40.8,5.0,21.0,
2011-10-23,18.6,,25.0,,7.93,,9.26,40.6,2.0,23.0,
2011-10-24,19.2,,25.0,,7.95,,9.1,41.1,10.0,16.0,
2011-10-25,18.2,,27.0,,7.93,,9.37,41.8,4.0,26.0,
2011-10-26,16.3,,28.0,,7.97,,9.9,41.8,6.0,10.0,
2011-10-27,16.2,,29.0,,8.07,,10.07,42.1,5.0,18.0,
2011-10-28,17.2,,26.0,,8.04,,9.98,42.1,5.0,6.0,
2011-10-29,17.8,,28.0,,7.95,,9.37,42.4,3.0,20.0,
2011-10-30,17.9,,27.0,,7.97,,9.35,42.5,4.0,14.0,
2011-10-31,17.0,,28.0,,8.01,,9.76,42.6,2.0,18.0,
2011-11-01,18.0,,27.0,,8.03,,9.82,42.6,3.0,8.0,
2011-11-02,19.1,,25.5,,7.83,,9.04,42.5,3.0,14.0,
2011-11-03,19.6,,25.0,,7.93,,9.28,38.4,2.0,22.0,
2011-11-04,20.9,,21.0,,7.96,,9.13,36.6,8.0,32.0,
2011-11-05,21.3,,21.0,,7.96,,8.93,36.3,3.0,24.0,
2011-11-06,21.3,,21.0,,7.98,,9.03,36.4,0.0,24.0,
2011-11-07,20.4,,23.0,,7.92,,8.08,36.8,6.0,13.0,
2011-11-08,19.3,,22.5,,7.97,,9.41,37.2,2.0,28.0,
2011-11-09,17.7,,25.0,,7.94,,9.8,37.8,2.0,19.0,
2011-11-10,15.9,,25.0,,7.84,,10.12,36.6,1.0,15.0,
2011-11-11,14.7,,26.5,,7.89,,10.39,38.5,0.0,9.0,
2011-11-12,14.5,,26.0,,8.03,,10.52,38.8,1.0,9.0,
2011-11-13,14.5,,26.0,,7.98,,10.51,39.1,1.0,6.0,
2011-11-14,14.9,,24.0,,7.96,,10.48,39.5,,,
