文件名,节点数,边数,桥数量,Tarjan(s),回滚DSU(s),BFS(s),朴素DSU(s)
fixed_m_10000_n_1000.txt,1000,10000,15,0.0019,0.0130,3.1039,3.3401
fixed_m_10000_n_10000.txt,10000,10000,9997,0.0017,0.0162,6.1479,3.3825
fixed_m_10000_n_15000.txt,15000,14999,14999,0.0024,0.0284,12.5417,7.0376
fixed_m_10000_n_20000.txt,20000,19999,19999,0.0032,0.0421,21.9181,12.4341
fixed_m_10000_n_2500.txt,2500,10000,25,0.0016,0.0096,3.1862,3.1137
fixed_m_10000_n_5000.txt,5000,10000,667,0.0018,0.0085,4.2655,3.8048
fixed_m_10000_n_7500.txt,7500,10000,3898,0.0017,0.0127,5.1122,3.9612
fixed_n_10000_m_1000.txt,10000,9999,9999,0.0015,0.0169,5.4598,3.1149
fixed_n_10000_m_10000.txt,10000,10000,9997,0.0016,0.0156,5.4643,3.1189
fixed_n_10000_m_15000.txt,10000,15000,3708,0.0026,0.0192,10.8901,8.6667
fixed_n_10000_m_20000.txt,10000,20000,1372,0.0038,0.0292,17.2925,14.8438
fixed_n_10000_m_2500.txt,10000,9999,9999,0.0019,0.0157,5.5207,3.1881
fixed_n_10000_m_5000.txt,10000,9999,9999,0.0016,0.0156,5.5991,3.1246
fixed_n_10000_m_7500.txt,10000,9999,9999,0.0016,0.0154,5.4857,3.0904
