文件名,节点数,边数,桥数量,Tarjan(ms),回滚DSU(ms),BFS(ms),朴素DSU(ms)
fixed_m_10000_n_1000.txt,1000,10000,15,1.9,13.0,3103.9,3340.1
fixed_m_10000_n_10000.txt,10000,10000,9997,1.7,16.2,6147.9,3382.5
fixed_m_10000_n_15000.txt,15000,14999,14999,2.4,28.400000000000002,12541.7,7037.6
fixed_m_10000_n_20000.txt,20000,19999,19999,3.2,42.1,21918.1,12434.1
fixed_m_10000_n_2500.txt,2500,10000,25,1.6,9.6,3186.2,3113.7000000000003
fixed_m_10000_n_5000.txt,5000,10000,667,1.8,8.5,4265.5,3804.8
fixed_m_10000_n_7500.txt,7500,10000,3898,1.7,12.7,5112.2,3961.2
fixed_n_10000_m_1000.txt,10000,9999,9999,1.5,16.9,5459.8,3114.9
fixed_n_10000_m_10000.txt,10000,10000,9997,1.6,15.6,5464.299999999999,3118.9
fixed_n_10000_m_15000.txt,10000,15000,3708,2.6,19.2,10890.1,8666.7
fixed_n_10000_m_20000.txt,10000,20000,1372,3.8,29.2,17292.5,14843.8
fixed_n_10000_m_2500.txt,10000,9999,9999,1.9,15.7,5520.7,3188.1
fixed_n_10000_m_5000.txt,10000,9999,9999,1.6,15.6,5599.1,3124.6
fixed_n_10000_m_7500.txt,10000,9999,9999,1.6,15.4,5485.7,3090.3999999999996
