日期,AvgTN,盐度1,pH1,溶解氧,导电率,蜕壳数,死亡数,备注
8月12日,0.978873239,0.785714286,0.820895522,0.0,0.0,0.0,-0.2468515912484773,
8月13日,0.926056338,0.642857143,0.671641791,0.2788939906202014,0.02405145609213114,0.569620253,-0.06171289781211934,
8月14日,0.876760563,0.714285714,0.671641791,0.4836364319336019,0.03206860812284152,0.683544304,0.027777778,
8月15日,0.919014085,0.535714286,0.597014925,0.6239318779369019,0.028060032107486334,0.632911392,0.055555556,补蟹35只
8月16日,0.940140845,0.535714286,0.597014925,0.7094848826268012,0.01603430406142077,0.594936709,0.055555556,
8月17日,1.014084507,0.571428571,0.671641791,0.75,0.0,0.82278481,0.05516200465605963,
8月18日,1.01056338,0.607142857,0.597014925,0.7551817840531996,-0.016034304061420757,1.0,0.055555556,
8月19日,0.975352113,0.714285714,0.671641791,0.7347347887830988,-0.028060032107486324,0.924050633,0.055555556,
8月20日,1.021126761,0.821428571,0.447761194,0.6983635681863984,-0.0320686081228415,0.772151899,0.06571256150575597,
8月21日,0.992957746,0.571428571,0.52238806,0.655772676259799,-0.024051456092131135,0.544303797,0.08065819650677283,
8月22日,0.964788732,0.785714286,0.373134328,0.616666667,0.0,0.0,0.08999695550440326,
8月23日,0.887323944,0.821428571,0.52238806,0.5892055403990019,0.04160576015355193,0.506329114,0.083333333,
8月24日,0.799295775,0.321428571,0.597014925,0.5753710804300038,0.09233152030710383,0.64556962,0.055555556,
8月25日,0.86971831,0.214285714,0.373134328,0.575600517061505,0.1412544003838798,0.455696203,0.027777778,
8月26日,0.820422535,0.25,0.223880597,0.5903310802620039,0.1774515203071038,0.443037975,0.036918890296896434,
8月27日,0.855633803,0.214285714,0.298507463,0.62,0.19,0.417721519,0.0856168583401131,
8月28日,0.901408451,0.071428571,0.298507463,0.6637560556147928,0.172171263447213,0.481012658,0.166666667,
8月29日,0.908450704,0.142857143,0.0,0.7155942239288857,0.13401395087907095,0.506329114,0.194444444,
8月30日,0.922535211,0.0,0.447761194,0.7682210311355819,0.08977100658732232,0.556962025,0.027777778,
8月31日,0.901408451,0.071428571,0.298507463,0.8143430034281854,0.05368537486371578,0.35443038,0.111111111,
9月1日,0.887323944,0.142857143,0.447761194,0.846666667,0.04,0.278481013,0.0,
9月2日,0.838028169,0.214285714,0.298507463,0.8596223609053342,0.05954583538131798,0.316455696,0.02505441557426334,
9月3日,0.823943662,0.214285714,0.298507463,0.8545356756425146,0.10950587076639053,0.303797468,0.18791513433593973,
9月4日,0.788732394,0.428571429,0.447761194,0.834456014570874,0.18365110500733273,0.0,0.32626273042964626,
9月5日,0.753521127,0.357142857,0.447761194,0.8024327810497437,0.27575253695625984,0.936708861,0.277777778,
9月6日,0.697183099,0.607142857,0.447761194,0.7615153784384553,0.379581165465287,0.202531646,0.027777778,
9月7日,0.654929577,0.642857143,0.447761194,0.7147532100963415,0.48890798938652935,0.253164557,0.027777778,
9月8日,0.669014085,0.642857143,0.447761194,0.6651956793827337,0.5975040075721021,0.126582278,0.25,
9月9日,0.802816901,0.571428571,0.298507463,0.6158921896569637,0.6991402188741204,0.253164557,0.222222222,
9月10日,0.781690141,0.642857143,0.298507463,0.5698921442783637,0.7875876221446995,0.253164557,0.166666667,
9月11日,0.781690141,0.5,0.149253731,0.5302449466062651,0.8566172162359542,0.316455696,0.277777778,
9月12日,0.718309859,0.35099712277123213,0.671641791,0.5,0.9,0.329113924,0.0,
9月13日,0.788732394,0.2735384590538351,0.537313433,0.486666667,0.92,0.303797468,0.361111111,补蟹两排
9月14日,0.838028169,0.25678326379177546,0.641791045,0.488333333,0.94,0.202531646,0.694444444,
9月15日,0.873239437,0.2898907919290198,0.537313433,0.455,0.95,0.278481013,0.444444444,
9月16日,0.852112676,0.36202029840953476,0.656716418,0.471666667,0.96,0.253164557,0.666666667,
9月17日,0.809859155,0.46233103817728705,0.656716418,0.471666667,0.97,0.139240506,0.555555556,
9月18日,0.774647887,0.579982266176243,0.805970149,0.508333333,0.98,0.151898734,0.416666667,
9月19日,0.464788732,0.7041332373503695,0.701492537,0.613333333,0.99,0.164556962,0.555555556,
9月20日,0.373239437,0.823943206643633,0.731343284,0.64,1.0,0.025316456,0.361111111,
9月21日,0.35915493,0.928571429,0.731343284,0.633333333,0.99,0.063291139,0.555555556,
9月22日,0.302816901,1.0,0.791044776,0.738333333,1.0,0.063291139,0.416666667,
9月23日,0.338028169,1.0,0.71641791,0.678333333,0.98,0.088607595,0.444444444,
9月24日,0.373239437,0.928571429,0.746268657,0.66,0.98,0.037974684,0.527777778,
9月25日,0.422535211,0.857142857,0.671641791,0.638333333,0.98,0.025316456,0.222222222,
9月26日,0.436619718,0.857142857,0.835820896,0.648333333,0.98,0.037974684,0.305555556,
9月27日,0.535211268,0.785714286,0.791044776,0.623333333,0.96,0.063291139,0.361111111,
9月28日,0.626760563,0.714285714,0.746268657,0.61,0.98,0.17721519,0.833333333,
9月29日,0.690140845,0.571428571,0.865671642,0.598333333,0.96,0.101265823,0.361111111,
9月30日,0.633802817,0.428571429,0.134328358,0.59,0.8,0.113924051,0.638888889,
10月1日,0.436619718,0.5,0.611940299,0.57,0.77,0.17721519,0.25,
10月2日,0.373239437,0.5,0.776119403,0.69,0.78,0.164556962,0.555555556,
10月3日,0.281690141,0.5,0.447761194,0.606666667,0.78,0.063291139,0.166666667,
10月4日,0.232394366,0.392857143,0.582089552,0.67,0.79,0.088607595,0.305555556,
10月5日,0.232394366,0.357142857,0.597014925,0.703333333,0.78,0.050632911,0.222222222,
10月6日,0.26056338,0.428571429,0.641791045,0.775,0.79,0.037974684,0.277777778,
10月7日,0.281690141,0.285714286,0.626865672,0.755,0.8,0.126582278,0.333333333,
10月8日,0.345070423,0.285714286,0.626865672,0.721666667,0.8,0.088607595,0.194444444,
10月9日,0.38028169,0.285714286,0.686567164,0.715,0.8,0.075949367,0.305555556,
10月10日,0.478873239,0.214285714,0.71641791,0.646666667,0.81,0.189873418,0.111111111,
10月11日,0.542253521,0.285714286,0.746268657,0.635,0.84,0.202531646,0.333333333,
10月12日,0.478873239,0.428571429,0.71641791,0.691666667,0.86,0.17721519,0.361111111,
10月13日,0.485915493,0.428571429,0.641791045,0.613333333,0.89,0.189873418,1.0,
10月14日,0.492957746,0.428571429,0.582089552,0.638333333,0.88,0.215189873,0.75,
10月15日,0.373239437,0.5,0.71641791,0.746666667,0.88,0.240506329,0.666666667,
10月16日,0.295774648,0.357142857,0.805970149,0.826666667,0.89,0.202531646,0.75,
10月17日,0.295774648,0.535714286,0.731343284,0.783333333,0.89,0.088607595,0.805555556,
10月18日,0.288732394,0.571428571,0.76119403,0.756666667,0.9,0.202531646,0.611111111,
10月19日,0.197183099,0.642857143,0.850746269,0.808333333,0.91,0.189873418,0.75,
10月20日,0.246478873,0.5,0.910447761,0.855,0.91,0.139240506,0.5,
10月21日,0.309859155,0.5,0.850746269,0.761666667,0.91,0.050632911,0.305555556,
10月22日,0.288732394,0.5,0.835820896,0.81,0.91,0.063291139,0.555555556,
10月23日,0.288732394,0.5,0.791044776,0.79,0.9,0.025316456,0.611111111,
10月24日,0.330985915,0.5,0.820895522,0.763333333,0.92,0.126582278,0.416666667,
10月25日,0.26056338,0.642857143,0.791044776,0.808333333,0.93,0.050632911,0.694444444,
10月26日,0.126760563,0.714285714,0.850746269,0.896666667,0.93,0.075949367,0.25,
10月27日,0.11971831,0.785714286,1.0,0.925,0.94,0.063291139,0.472222222,
10月28日,0.190140845,0.571428571,0.955223881,0.91,0.94,0.063291139,0.138888889,
10月29日,0.232394366,0.714285714,0.820895522,0.808333333,0.95,0.037974684,0.527777778,
10月30日,0.23943662,0.642857143,0.850746269,0.805,0.95,0.050632911,0.361111111,
10月31日,0.176056338,0.714285714,0.910447761,0.873333333,0.95,0.025316456,0.472222222,
11月1日,0.246478873,0.642857143,0.940298507,0.883333333,0.95,0.037974684,0.194444444,
11月2日,0.323943662,0.535714286,0.641791045,0.753333333,0.95,0.037974684,0.361111111,
11月3日,0.35915493,0.5,0.791044776,0.793333333,0.85,0.025316456,0.583333333,
11月4日,0.450704225,0.214285714,0.835820896,0.768333333,0.81,0.101265823,0.861111111,
11月5日,0.478873239,0.214285714,0.835820896,0.735,0.81,0.037974684,0.638888889,
11月6日,0.478873239,0.214285714,0.865671642,0.751666667,0.81,0.0,0.638888889,
11月7日,0.415492958,0.357142857,0.776119403,0.593333333,0.82,0.075949367,0.333333333,
11月8日,0.338028169,0.321428571,0.850746269,0.815,0.83,0.025316456,0.75,
11月9日,0.225352113,0.5,0.805970149,0.88,0.84,0.025316456,0.5,
11月10日,0.098591549,0.5,0.656716418,0.933333333,0.81,0.012658228,0.388888889,
11月11日,0.014084507,0.607142857,0.731343284,0.978333333,0.86,0.0,0.222222222,
11月12日,0.0,0.571428571,0.940298507,1.0,0.86,0.012658228,0.222222222,
11月13日,0.0,0.571428571,0.865671642,0.998333333,0.87,0.012658228,0.138888889,
11月14日,0.028169014,0.428571429,0.835820896,0.993333333,0.88,0.0,-0.4688515906434681,
,0.12290137027789783,-0.1773990672535044,1.393655410477698,1.0110891555328991,0.841906020690002,-0.011259003162698445,-2.0420730305738726,
,0.32259139711159135,-1.5667391300140183,3.082084326910791,1.0776899561315965,0.7076240827600069,-0.0070613286507937995,-5.021849244434682,
